"MANUFACTURER","MODEL_NAME","CATEGORY","SCREEN_SIZE","SCREEN","CPU","RAM","STORAGE","GPU","OPERATING_SYSTEM","OPERATING_SYSTEM_VERSION","WEIGHT","PRICE_IN_EUROS"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz","8GB","256GB SSD","Intel Iris Plus Graphics 650","macOS","-","1.37kg","180360"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","128GB SSD","Intel Iris Plus Graphics 640","macOS","-","1.37kg","133"
"Apple","Macbook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.8GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","macOS","-","1.34kg","89"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS","-","1.86kg","57"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz","16GB","512GB SSD","AMD Radeon Pro 455","macOS","-","1.83kg","25"
"Acer","Aspire 3","Notebook","15.6""","1366x768","AMD A9-Series 9420 3GHz","4GB","500GB HDD","AMD Radeon R5","Windows","10","2.1kg","40"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz","16GB","256GB Flash Storage","Intel Iris Pro Graphics","Mac OS","X","2.04kg","213"
"Apple","Macbook Air","Ultrabook","13.3""","1440x900","Intel Core i5 1.8GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","macOS",,"1.34kg","11"
"Asus","ZenBook UX430UN","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce MX150","Windows","10","1.3kg","14"
"Acer","Swift 3","Ultrabook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.6kg","77"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","No OS",,"1.86kg","39"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS",,"1.86kg","344"
"Apple","MacBook Pro","Ultrabook","15.4""","IPS Panel Retina Display 2880x1800","Intel Core i7 2.8GHz","16GB","256GB SSD","AMD Radeon Pro 555","macOS",,"1.83kg","243997"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows","10","2.2kg","49890"
"Apple","MacBook 12""","Ultrabook","12.0""","IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","macOS",,"0.92kg","126240"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","macOS",,"1.37kg","15"
